Number,Tag,Description
1,CC,Coordinating conjunction
2,CD,Cardinal number
3,DT,Determiner
4,EX,Existential there
5,FW,Foreign word
6,IN,Preposition or subordinating conjunction
7,JJ,Adjective
8,JJR,Comparative adjective
9,JJS,Superlative adjective
10,LS,List item marker
11,MD,Modal
12,NN,Singular or mass noun
13,NNS,Plural noun
14,NNP,Singular proper noun
15,NNPS,Plural proper noun
16,PDT,Predeterminer
17,POS,Possessive ending
18,PRP,Personal pronoun
19,PRP$,Possessive pronoun
20,RB,Adverb
21,RBR,Comparative adverb
22,RBS,Superlative adverb
23,RP,Particle
24,SYM,Symbol
25,TO,to
26,UH,Interjection
27,VB,Base form Verb
28,VBD,Past tense verb
29,VBG,Gerund or present participle verb
30,VBN,Past participle verb
31,VBP,Non-3rd person singular present verb
32,VBZ,3rd person singular present verb
33,WDT,Wh-determiner
34,WP,Wh-pronoun
35,WP$,Possessive wh-pronoun
36,WRB,Wh-adverb
